added_lines,arm,attempts,changed_files,changed_paths,deleted_lines,dependencies_added_count,duration_ms,fail2pass_count,fail2pass_passed,fail2pass_total,failure_category,holdout_verifier_passed,model,model_answer_nonempty,pass2pass_count,pass2pass_passed,pass2pass_total,passed,patch_path,plan_index,provider,repetition,report_path,run_key,runtime_run_id,status,task_id,tool_steps,trace_path,usage,verifier_exit_code,verifier_stderr_path,verifier_stdout_path
,short_yagni,5,1,"[""config.py""]",,,23891.63,1,True,1,,True,gpt-5.5,True,2,True,2,True,artifacts\minimal-change\resume-experiment-r15-54\runs\config-timeout-migration__short_yagni__r1\patch.diff,1,openai,1,artifacts\minimal-change\resume-experiment-r15-54\runs\config-timeout-migration__short_yagni__r1\workspace\.pico\runs\run_20260805-105343-ddb813\report.json,config-timeout-migration__short_yagni__r1,run_20260805-105343-ddb813,pass,config-timeout-migration,5,artifacts\minimal-change\resume-experiment-r15-54\runs\config-timeout-migration__short_yagni__r1\workspace\.pico\runs\run_20260805-105343-ddb813\trace.jsonl,"{""cache_hit"": false, ""cached_tokens"": 0, ""image_input_count"": 0, ""input_tokens"": 4038, ""native_tool_call_count"": 0, ""native_tools_enabled"": true, ""output_tokens"": 80, ""prompt_cache_key"": null, ""prompt_cache_retention"": null, ""prompt_cache_supported"": false, ""provider_attempts"": 1, ""provider_base_url"": ""<redacted>"", ""provider_model"": ""gpt-5.5"", ""provider_protocol"": ""openai"", ""provider_retry_count"": 0, ""tool_call_channel"": ""text"", ""total_tokens"": 4118}",0,artifacts\minimal-change\resume-experiment-r15-54\runs\config-timeout-migration__short_yagni__r1\verifier\holdout-0-stderr.txt,artifacts\minimal-change\resume-experiment-r15-54\runs\config-timeout-migration__short_yagni__r1\verifier\holdout-0-stdout.txt
,minimal_policy,5,1,"[""app.py""]",,,21412.72,1,True,1,,True,gpt-5.5,True,2,True,2,True,artifacts\minimal-change\resume-experiment-r15-54\runs\single-file-sum-boundary__minimal_policy__r2\patch.diff,2,openai,2,artifacts\minimal-change\resume-experiment-r15-54\runs\single-file-sum-boundary__minimal_policy__r2\workspace\.pico\runs\run_20260805-105407-ea0833\report.json,single-file-sum-boundary__minimal_policy__r2,run_20260805-105407-ea0833,pass,single-file-sum-boundary,5,artifacts\minimal-change\resume-experiment-r15-54\runs\single-file-sum-boundary__minimal_policy__r2\workspace\.pico\runs\run_20260805-105407-ea0833\trace.jsonl,"{""cache_hit"": false, ""cached_tokens"": 0, ""image_input_count"": 0, ""input_tokens"": 4088, ""native_tool_call_count"": 0, ""native_tools_enabled"": true, ""output_tokens"": 74, ""prompt_cache_key"": null, ""prompt_cache_retention"": null, ""prompt_cache_supported"": false, ""provider_attempts"": 1, ""provider_base_url"": ""<redacted>"", ""provider_model"": ""gpt-5.5"", ""provider_protocol"": ""openai"", ""provider_retry_count"": 0, ""tool_call_channel"": ""text"", ""total_tokens"": 4162}",0,artifacts\minimal-change\resume-experiment-r15-54\runs\single-file-sum-boundary__minimal_policy__r2\verifier\holdout-0-stderr.txt,artifacts\minimal-change\resume-experiment-r15-54\runs\single-file-sum-boundary__minimal_policy__r2\verifier\holdout-0-stdout.txt
,baseline,5,1,"[""app.py""]",,,23543.88,1,True,1,,True,gpt-5.5,True,2,True,2,True,artifacts\minimal-change\resume-experiment-r15-54\runs\single-file-sum-boundary__baseline__r3\patch.diff,3,openai,3,artifacts\minimal-change\resume-experiment-r15-54\runs\single-file-sum-boundary__baseline__r3\workspace\.pico\runs\run_20260805-105429-83f659\report.json,single-file-sum-boundary__baseline__r3,run_20260805-105429-83f659,pass,single-file-sum-boundary,5,artifacts\minimal-change\resume-experiment-r15-54\runs\single-file-sum-boundary__baseline__r3\workspace\.pico\runs\run_20260805-105429-83f659\trace.jsonl,"{""cache_hit"": false, ""cached_tokens"": 0, ""image_input_count"": 0, ""input_tokens"": 4091, ""native_tool_call_count"": 0, ""native_tools_enabled"": true, ""output_tokens"": 73, ""prompt_cache_key"": null, ""prompt_cache_retention"": null, ""prompt_cache_supported"": false, ""provider_attempts"": 1, ""provider_base_url"": ""<redacted>"", ""provider_model"": ""gpt-5.5"", ""provider_protocol"": ""openai"", ""provider_retry_count"": 0, ""tool_call_channel"": ""text"", ""total_tokens"": 4164}",0,artifacts\minimal-change\resume-experiment-r15-54\runs\single-file-sum-boundary__baseline__r3\verifier\holdout-0-stderr.txt,artifacts\minimal-change\resume-experiment-r15-54\runs\single-file-sum-boundary__baseline__r3\verifier\holdout-0-stdout.txt
,minimal_policy,6,1,"[""app.py""]",,,28513.34,1,True,1,,True,gpt-5.5,True,2,True,2,True,artifacts\minimal-change\resume-experiment-r15-54\runs\json-object-contract__minimal_policy__r1\patch.diff,4,openai,1,artifacts\minimal-change\resume-experiment-r15-54\runs\json-object-contract__minimal_policy__r1\workspace\.pico\runs\run_20260805-105452-37ca8e\report.json,json-object-contract__minimal_policy__r1,run_20260805-105452-37ca8e,pass,json-object-contract,6,artifacts\minimal-change\resume-experiment-r15-54\runs\json-object-contract__minimal_policy__r1\workspace\.pico\runs\run_20260805-105452-37ca8e\trace.jsonl,"{""cache_hit"": false, ""cached_tokens"": 0, ""image_input_count"": 0, ""input_tokens"": 4259, ""native_tool_call_count"": 0, ""native_tools_enabled"": true, ""output_tokens"": 90, ""prompt_cache_key"": null, ""prompt_cache_retention"": null, ""prompt_cache_supported"": false, ""provider_attempts"": 1, ""provider_base_url"": ""<redacted>"", ""provider_model"": ""gpt-5.5"", ""provider_protocol"": ""openai"", ""provider_retry_count"": 0, ""tool_call_channel"": ""text"", ""total_tokens"": 4349}",0,artifacts\minimal-change\resume-experiment-r15-54\runs\json-object-contract__minimal_policy__r1\verifier\holdout-0-stderr.txt,artifacts\minimal-change\resume-experiment-r15-54\runs\json-object-contract__minimal_policy__r1\verifier\holdout-0-stdout.txt
,short_yagni,5,1,"[""app.py""]",,,22999.85,1,True,1,,True,gpt-5.5,True,2,True,2,True,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__short_yagni__r2\patch.diff,5,openai,2,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__short_yagni__r2\workspace\.pico\runs\run_20260805-105521-3c90e9\report.json,stdlib-url-host__short_yagni__r2,run_20260805-105521-3c90e9,pass,stdlib-url-host,6,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__short_yagni__r2\workspace\.pico\runs\run_20260805-105521-3c90e9\trace.jsonl,"{""cache_hit"": false, ""cached_tokens"": 0, ""image_input_count"": 0, ""input_tokens"": 4365, ""native_tool_call_count"": 0, ""native_tools_enabled"": true, ""output_tokens"": 73, ""prompt_cache_key"": null, ""prompt_cache_retention"": null, ""prompt_cache_supported"": false, ""provider_attempts"": 1, ""provider_base_url"": ""<redacted>"", ""provider_model"": ""gpt-5.5"", ""provider_protocol"": ""openai"", ""provider_retry_count"": 0, ""tool_call_channel"": ""text"", ""total_tokens"": 4438}",0,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__short_yagni__r2\verifier\holdout-0-stderr.txt,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__short_yagni__r2\verifier\holdout-0-stdout.txt
,minimal_policy,6,1,"[""app.py""]",,,40028.94,1,True,1,,True,gpt-5.5,True,2,True,2,True,artifacts\minimal-change\resume-experiment-r15-54\runs\path-traversal-boundary__minimal_policy__r2\patch.diff,6,openai,2,artifacts\minimal-change\resume-experiment-r15-54\runs\path-traversal-boundary__minimal_policy__r2\workspace\.pico\runs\run_20260805-105544-7d1eaf\report.json,path-traversal-boundary__minimal_policy__r2,run_20260805-105544-7d1eaf,pass,path-traversal-boundary,5,artifacts\minimal-change\resume-experiment-r15-54\runs\path-traversal-boundary__minimal_policy__r2\workspace\.pico\runs\run_20260805-105544-7d1eaf\trace.jsonl,"{""cache_hit"": false, ""cached_tokens"": 0, ""image_input_count"": 0, ""input_tokens"": 4166, ""native_tool_call_count"": 0, ""native_tools_enabled"": true, ""output_tokens"": 86, ""prompt_cache_key"": null, ""prompt_cache_retention"": null, ""prompt_cache_supported"": false, ""provider_attempts"": 1, ""provider_base_url"": ""<redacted>"", ""provider_model"": ""gpt-5.5"", ""provider_protocol"": ""openai"", ""provider_retry_count"": 0, ""tool_call_channel"": ""text"", ""total_tokens"": 4252}",0,artifacts\minimal-change\resume-experiment-r15-54\runs\path-traversal-boundary__minimal_policy__r2\verifier\holdout-0-stderr.txt,artifacts\minimal-change\resume-experiment-r15-54\runs\path-traversal-boundary__minimal_policy__r2\verifier\holdout-0-stdout.txt
,short_yagni,5,1,"[""app.py""]",,,24762.67,1,True,1,,True,gpt-5.5,True,2,True,2,True,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__short_yagni__r3\patch.diff,7,openai,3,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__short_yagni__r3\workspace\.pico\runs\run_20260805-105624-94890d\report.json,stdlib-url-host__short_yagni__r3,run_20260805-105624-94890d,pass,stdlib-url-host,5,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__short_yagni__r3\workspace\.pico\runs\run_20260805-105624-94890d\trace.jsonl,"{""cache_hit"": false, ""cached_tokens"": 0, ""image_input_count"": 0, ""input_tokens"": 4083, ""native_tool_call_count"": 0, ""native_tools_enabled"": true, ""output_tokens"": 76, ""prompt_cache_key"": null, ""prompt_cache_retention"": null, ""prompt_cache_supported"": false, ""provider_attempts"": 1, ""provider_base_url"": ""<redacted>"", ""provider_model"": ""gpt-5.5"", ""provider_protocol"": ""openai"", ""provider_retry_count"": 0, ""tool_call_channel"": ""text"", ""total_tokens"": 4159}",0,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__short_yagni__r3\verifier\holdout-0-stderr.txt,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__short_yagni__r3\verifier\holdout-0-stdout.txt
,short_yagni,6,1,"[""app.py""]",,,37497.97,1,True,1,,True,gpt-5.5,True,2,True,2,True,artifacts\minimal-change\resume-experiment-r15-54\runs\path-traversal-boundary__short_yagni__r3\patch.diff,8,openai,3,artifacts\minimal-change\resume-experiment-r15-54\runs\path-traversal-boundary__short_yagni__r3\workspace\.pico\runs\run_20260805-105649-d7a867\report.json,path-traversal-boundary__short_yagni__r3,run_20260805-105649-d7a867,pass,path-traversal-boundary,6,artifacts\minimal-change\resume-experiment-r15-54\runs\path-traversal-boundary__short_yagni__r3\workspace\.pico\runs\run_20260805-105649-d7a867\trace.jsonl,"{""cache_hit"": false, ""cached_tokens"": 0, ""image_input_count"": 0, ""input_tokens"": 4254, ""native_tool_call_count"": 0, ""native_tools_enabled"": true, ""output_tokens"": 61, ""prompt_cache_key"": null, ""prompt_cache_retention"": null, ""prompt_cache_supported"": false, ""provider_attempts"": 1, ""provider_base_url"": ""<redacted>"", ""provider_model"": ""gpt-5.5"", ""provider_protocol"": ""openai"", ""provider_retry_count"": 0, ""tool_call_channel"": ""text"", ""total_tokens"": 4315}",0,artifacts\minimal-change\resume-experiment-r15-54\runs\path-traversal-boundary__short_yagni__r3\verifier\holdout-0-stderr.txt,artifacts\minimal-change\resume-experiment-r15-54\runs\path-traversal-boundary__short_yagni__r3\verifier\holdout-0-stdout.txt
,baseline,5,1,"[""app.py""]",,,23127.78,1,True,1,,True,gpt-5.5,True,2,True,2,True,artifacts\minimal-change\resume-experiment-r15-54\runs\single-file-sum-boundary__baseline__r2\patch.diff,9,openai,2,artifacts\minimal-change\resume-experiment-r15-54\runs\single-file-sum-boundary__baseline__r2\workspace\.pico\runs\run_20260805-105726-b9be62\report.json,single-file-sum-boundary__baseline__r2,run_20260805-105726-b9be62,pass,single-file-sum-boundary,5,artifacts\minimal-change\resume-experiment-r15-54\runs\single-file-sum-boundary__baseline__r2\workspace\.pico\runs\run_20260805-105726-b9be62\trace.jsonl,"{""cache_hit"": false, ""cached_tokens"": 0, ""image_input_count"": 0, ""input_tokens"": 4005, ""native_tool_call_count"": 0, ""native_tools_enabled"": true, ""output_tokens"": 72, ""prompt_cache_key"": null, ""prompt_cache_retention"": null, ""prompt_cache_supported"": false, ""provider_attempts"": 1, ""provider_base_url"": ""<redacted>"", ""provider_model"": ""gpt-5.5"", ""provider_protocol"": ""openai"", ""provider_retry_count"": 0, ""tool_call_channel"": ""text"", ""total_tokens"": 4077}",0,artifacts\minimal-change\resume-experiment-r15-54\runs\single-file-sum-boundary__baseline__r2\verifier\holdout-0-stderr.txt,artifacts\minimal-change\resume-experiment-r15-54\runs\single-file-sum-boundary__baseline__r2\verifier\holdout-0-stdout.txt
,minimal_policy,7,1,"[""app.py""]",,,39022.42,1,True,1,,True,gpt-5.5,True,2,True,2,True,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__minimal_policy__r3\patch.diff,10,openai,3,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__minimal_policy__r3\workspace\.pico\runs\run_20260805-105749-cea868\report.json,stdlib-url-host__minimal_policy__r3,run_20260805-105749-cea868,pass,stdlib-url-host,6,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__minimal_policy__r3\workspace\.pico\runs\run_20260805-105749-cea868\trace.jsonl,"{""cache_hit"": false, ""cached_tokens"": 0, ""image_input_count"": 0, ""input_tokens"": 4285, ""native_tool_call_count"": 0, ""native_tools_enabled"": true, ""output_tokens"": 94, ""prompt_cache_key"": null, ""prompt_cache_retention"": null, ""prompt_cache_supported"": false, ""provider_attempts"": 1, ""provider_base_url"": ""<redacted>"", ""provider_model"": ""gpt-5.5"", ""provider_protocol"": ""openai"", ""provider_retry_count"": 0, ""tool_call_channel"": ""text"", ""total_tokens"": 4379}",0,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__minimal_policy__r3\verifier\holdout-0-stderr.txt,artifacts\minimal-change\resume-experiment-r15-54\runs\stdlib-url-host__minimal_policy__r3\verifier\holdout-0-stdout.txt
